filename,emr_dissim,mse_rgb,max_p99,mse_red,mse_hsv_V,mse_hsv_H
B22-304\01044.png,0.04505974,43.94103,576.0,38.997192,0.0005097141,0.18979555
B22-304\01044_Aug1.png,0.042933762,39.83594,529.0,34.430847,0.00045291884,0.17466232
B22-304\01044_Aug2.png,0.04498619,44.642548,576.0,39.366714,0.00051816076,0.19676211
B22-304\01044_Aug3.png,0.041452467,36.717148,529.0,31.78865,0.00040363154,0.15751965
B22-304\01044_Aug4.png,0.04481274,45.514282,576.0,39.01317,0.00051599956,0.20876625
B22-304\01044_Aug5.png,0.039752483,32.448593,441.0,27.971878,0.0003511476,0.13439769
B22-304\01044_Aug6.png,0.043078184,41.874607,529.0,35.954895,0.00047323434,0.20706826
B22-304\01044_Aug7.png,0.038354576,28.901962,400.0,25.427841,0.00030716686,0.11941276
B22-304\01044_Aug8.png,0.042618096,40.695446,529.0,35.262375,0.0004590921,0.2016725
B22-304\01100.png,0.039973795,18.660593,144.0,16.360596,0.00019233747,0.019858066
B22-304\01100_Aug1.png,0.039593995,17.958817,144.0,15.923965,0.00018594015,0.01727669
B22-304\01100_Aug2.png,0.038260937,18.84464,144.0,16.36493,0.0001941,0.021638691
B22-304\01100_Aug3.png,0.039280474,17.481237,121.0,15.352097,0.00017695429,0.01636305
B22-304\01100_Aug4.png,0.038294792,19.318762,144.0,16.88765,0.00020134749,0.025175901
B22-304\01100_Aug5.png,0.038048506,16.681213,121.0,14.467804,0.00016397172,0.013485298
B22-304\01100_Aug6.png,0.03967303,20.08846,169.0,17.429474,0.00021478297,0.027517444
B22-304\01100_Aug7.png,0.038154602,16.313604,121.0,14.036835,0.00016136277,0.011006307
B22-304\01100_Aug8.png,0.039940655,21.05426,169.0,18.654404,0.00023126503,0.031114098
B22-304\01342.png,0.033283293,18.509909,144.0,15.786743,0.00018510077,0.005308563
B22-304\01658.png,0.037652552,19.107203,169.0,16.302261,0.00019586865,0.011270139
B22-304\01658_Aug1.png,0.036390066,18.175568,144.0,15.078934,0.00017768692,0.009971796
B22-304\01658_Aug2.png,0.03616208,18.6177,144.0,15.904541,0.0001897379,0.012135864
B22-304\01658_Aug3.png,0.036536157,17.672827,144.0,14.719101,0.00017287591,0.008840213
B22-304\01658_Aug4.png,0.03719902,18.940165,144.0,16.221313,0.0001931867,0.012041044
B22-304\01658_Aug5.png,0.03693658,17.705908,144.0,14.441238,0.0001689904,0.008109671
B22-304\01658_Aug6.png,0.036051273,18.852213,144.0,15.874863,0.0001879275,0.0129493205
